sampleid,project,Plate_ID,Well_ID,samplename,Demultiplex_ID,Index_set,region,sp_abbrev
PvCF_D6_13_TR1,CorrectionBiasPvDiet,MiFish_3,A2,PvCF_D6_13_TR1,PvCF_D6_13_TR1,C,ControlFeeding,Pv
TM_02_Hake,CorrectionBiasPvDiet,MiFish_4,A2,TM_02_Hake,TM_02_Hake,D,TissueMix,Hake
PvCF_D1_05_TR1,CorrectionBiasPvDiet,Prey18S_1,A2,PvCF_D1_05_TR1,PvCF_D1_05_TR1,A,ControlFeeding,Pv
PvCF_D4_02_TR1,CorrectionBiasPvDiet,Prey18S_2,A2,PvCF_D4_02_TR1,PvCF_D4_02_TR1,B,ControlFeeding,Pv
PvCF_D6_13_TR1,CorrectionBiasPvDiet,Prey18S_3,A2,PvCF_D6_13_TR1,PvCF_D6_13_TR1,C,ControlFeeding,Pv
PvCF_D1_07_TR3,CorrectionBiasPvDiet,MiFish_1,A3,PvCF_D1_07_TR3,PvCF_D1_07_TR3,A,ControlFeeding,Pv
PvCF_D4_05_TR2,CorrectionBiasPvDiet,MiFish_2,A3,PvCF_D4_05_TR2,PvCF_D4_05_TR2,B,ControlFeeding,Pv
PvCF_D6_A3,CorrectionBiasPvDiet,MiFish_3,A3,PvCF_D6_17_TR3,PvCF_D6_A3,C,ControlFeeding,Pv
TM_01_GrtSculp,CorrectionBiasPvDiet,MiFish_4,A3,TM_01_GrtSculp,TM_01_GrtSculp,D,TissueMix,GrtSculp
PvCF_D1_07_TR3,CorrectionBiasPvDiet,Prey18S_1,A3,PvCF_D1_07_TR3,PvCF_D1_07_TR3,A,ControlFeeding,Pv
PvCF_D4_05_TR2,CorrectionBiasPvDiet,Prey18S_2,A3,PvCF_D4_05_TR2,PvCF_D4_05_TR2,B,ControlFeeding,Pv
CF_A3,CorrectionBiasPvDiet,Prey18S_3,A3,PvCF_D6_19_TR1,CF_A3,C,ControlFeeding,Pv
PvCF_D1_11_TR1,CorrectionBiasPvDiet,MiFish_1,A4,PvCF_D1_11_TR1,PvCF_D1_11_TR1,A,ControlFeeding,Pv
PvCF_D4_08_TR3,CorrectionBiasPvDiet,MiFish_2,A4,PvCF_D4_08_TR3,PvCF_D4_08_TR3,B,ControlFeeding,Pv
MC_A4,CorrectionBiasPvDiet,MiFish_3,A4,MC_MiFish_Skew1_R1,MC_A4,C,MockCom,MkCom
TM_03_PnkSal,CorrectionBiasPvDiet,MiFish_4,A4,TM_03_PnkSal,TM_03_PnkSal,D,TissueMix,PnkSal
PvCF_D1_11_TR1,CorrectionBiasPvDiet,Prey18S_1,A4,PvCF_D1_11_TR1,PvCF_D1_11_TR1,A,ControlFeeding,Pv
PvCF_D4_08_TR3,CorrectionBiasPvDiet,Prey18S_2,A4,PvCF_D4_08_TR3,PvCF_D4_08_TR3,B,ControlFeeding,Pv
MC_A4,CorrectionBiasPvDiet,Prey18S_3,A4,MC_18S_RepFish_Skew1_R1,MC_A4,C,MockCom,MkCom
PvCF_D1_15_TR1,CorrectionBiasPvDiet,MiFish_1,A5,PvCF_D1_15_TR1,PvCF_D1_15_TR1,A,ControlFeeding,Pv
PvCF_D4_12_TR1,CorrectionBiasPvDiet,MiFish_2,A5,PvCF_D4_12_TR1,PvCF_D4_12_TR1,B,ControlFeeding,Pv
Plate3_A5,CorrectionBiasPvDiet,MiFish_3,A5,TM_03_NSpearPoach,Plate3_A5,C,TissueMix,NSpearPoach
TM_03_Coho_VAQ,CorrectionBiasPvDiet,MiFish_4,A5,TM_03_CohoVAQ,TM_03_Coho_VAQ,D,TissueMix,Coho_VAQ
PvCF_D1_15_TR1,CorrectionBiasPvDiet,Prey18S_1,A5,PvCF_D1_15_TR1,PvCF_D1_15_TR1,A,ControlFeeding,Pv
PvCF_D4_12_TR1,CorrectionBiasPvDiet,Prey18S_2,A5,PvCF_D4_12_TR1,PvCF_D4_12_TR1,B,ControlFeeding,Pv
Plate3_A5,CorrectionBiasPvDiet,Prey18S_3,A5,MC_18S_CombFish_Even_R3,Plate3_A5,C,MockCom,MkCom
PvCF_D2_03_TR2,CorrectionBiasPvDiet,MiFish_1,A6,PvCF_D2_03_TR2,PvCF_D2_03_TR2,A,ControlFeeding,Pv
PvCF_D5_02_TR2,CorrectionBiasPvDiet,MiFish_2,A6,PvCF_D5_02_TR2,PvCF_D5_02_TR2,B,ControlFeeding,Pv
TM_A6,CorrectionBiasPvDiet,MiFish_3,A6,TM_02_Ratfish,TM_A6,C,TissueMix,Ratfish
TM_02_SockSal,CorrectionBiasPvDiet,MiFish_4,A6,TM_02_SockSal,TM_02_SockSal,D,TissueMix,SockSal
PvCF_D2_03_TR2,CorrectionBiasPvDiet,Prey18S_1,A6,PvCF_D2_03_TR2,PvCF_D2_03_TR2,A,ControlFeeding,Pv
PvCF_D5_02_TR2,CorrectionBiasPvDiet,Prey18S_2,A6,PvCF_D5_02_TR2,PvCF_D5_02_TR2,B,ControlFeeding,Pv
TM_A6,CorrectionBiasPvDiet,Prey18S_3,A6,TM_01_MgArmSq,TM_A6,C,TissueMix,MgArmSq
PvCF_D2_06_TR1,CorrectionBiasPvDiet,MiFish_1,A7,PvCF_D2_06_TR1,PvCF_D2_06_TR1,A,ControlFeeding,Pv
PvCF_D5_05_TR3,CorrectionBiasPvDiet,MiFish_2,A7,PvCF_D5_05_TR3,PvCF_D5_05_TR3,B,ControlFeeding,Pv
TM_A7,CorrectionBiasPvDiet,MiFish_3,A7,TM_02_SpDog,TM_A7,C,TissueMix,SpDog
TM_03_Lingcod,CorrectionBiasPvDiet,MiFish_4,A7,TM_03_Lingcod,TM_03_Lingcod,D,TissueMix,Lingcod
PvCF_D2_06_TR1,CorrectionBiasPvDiet,Prey18S_1,A7,PvCF_D2_06_TR1,PvCF_D2_06_TR1,A,ControlFeeding,Pv
PvCF_D5_05_TR3,CorrectionBiasPvDiet,Prey18S_2,A7,PvCF_D5_05_TR3,PvCF_D5_05_TR3,B,ControlFeeding,Pv
TM_A7,CorrectionBiasPvDiet,Prey18S_3,A7,TM_03_MktSq,TM_A7,C,TissueMix,MktSq
PvCF_D2_08_TR3,CorrectionBiasPvDiet,MiFish_1,A8,PvCF_D2_08_TR3,PvCF_D2_08_TR3,A,ControlFeeding,Pv
PvCF_D5_09_TR1,CorrectionBiasPvDiet,MiFish_2,A8,PvCF_D5_09_TR1,PvCF_D5_09_TR1,B,ControlFeeding,Pv
TM_A8,CorrectionBiasPvDiet,MiFish_3,A8,TM_03_Cockscomb,TM_A8,C,TissueMix,Cockscomb
TM_01_StarFloun,CorrectionBiasPvDiet,MiFish_4,A8,TM_01_StarFloun,TM_01_StarFloun,D,TissueMix,StarFloun
PvCF_D2_08_TR3,CorrectionBiasPvDiet,Prey18S_1,A8,PvCF_D2_08_TR3,PvCF_D2_08_TR3,A,ControlFeeding,Pv
PvCF_D5_09_TR1,CorrectionBiasPvDiet,Prey18S_2,A8,PvCF_D5_09_TR1,PvCF_D5_09_TR1,B,ControlFeeding,Pv
TM_A8,CorrectionBiasPvDiet,Prey18S_3,A8,TM_01_RedOcto_02,TM_A8,C,TissueMix,RedOcto
PvCF_D3_01_TR1,CorrectionBiasPvDiet,MiFish_1,A9,PvCF_D3_01_TR1,PvCF_D3_01_TR1,A,ControlFeeding,Pv
PvCF_D5_12_TR2,CorrectionBiasPvDiet,MiFish_2,A9,PvCF_D5_12_TR2,PvCF_D5_12_TR2,B,ControlFeeding,Pv
TM_A9,CorrectionBiasPvDiet,MiFish_3,A9,TM_02_PacSanddab,TM_A9,C,TissueMix,PacSanddab
TM_03_SturPoach,CorrectionBiasPvDiet,MiFish_4,A9,TM_03_SturPoach,TM_03_SturPoach,D,TissueMix,SturPoach
PvCF_D3_01_TR1,CorrectionBiasPvDiet,Prey18S_1,A9,PvCF_D3_01_TR1,PvCF_D3_01_TR1,A,ControlFeeding,Pv
PvCF_D5_12_TR2,CorrectionBiasPvDiet,Prey18S_2,A9,PvCF_D5_12_TR2,PvCF_D5_12_TR2,B,ControlFeeding,Pv
TM_A9,CorrectionBiasPvDiet,Prey18S_3,A9,TM_01_PnkShrmp,TM_A9,C,TissueMix,PnkShrmp
PvCF_D1_01_TR2,CorrectionBiasPvDiet,MiFish_1,B1,PvCF_D1_01_TR2,PvCF_D1_01_TR2,A,ControlFeeding,Pv
PvCF_D3_14_TR3,CorrectionBiasPvDiet,MiFish_2,B1,PvCF_D3_14_TR3,PvCF_D3_14_TR3,B,ControlFeeding,Pv
PvCF_D6_10_TR3,CorrectionBiasPvDiet,MiFish_3,B1,PvCF_D6_10_TR3,PvCF_D6_10_TR3,C,ControlFeeding,Pv
TM_01_SlendSol,CorrectionBiasPvDiet,MiFish_4,B1,TM_01_SlendSol,TM_01_SlendSol,D,TissueMix,SlendSol
PvCF_D1_01_TR2,CorrectionBiasPvDiet,Prey18S_1,B1,PvCF_D1_01_TR2,PvCF_D1_01_TR2,A,ControlFeeding,Pv
PvCF_D3_14_TR3,CorrectionBiasPvDiet,Prey18S_2,B1,PvCF_D3_14_TR3,PvCF_D3_14_TR3,B,ControlFeeding,Pv
PvCF_D6_10_TR3,CorrectionBiasPvDiet,Prey18S_3,B1,PvCF_D6_10_TR3,PvCF_D6_10_TR3,C,ControlFeeding,Pv
PvCF_D3_05_TR2,CorrectionBiasPvDiet,MiFish_1,B10,PvCF_D3_05_TR2,PvCF_D3_05_TR2,A,ControlFeeding,Pv
PvCF_D6_02_TR1,CorrectionBiasPvDiet,MiFish_2,B10,PvCF_D6_02_TR1,PvCF_D6_02_TR1,B,ControlFeeding,Pv
TM_B10,CorrectionBiasPvDiet,MiFish_3,B10,TM_02_NAnch,TM_B10,C,TissueMix,NAnch
TM_01_PstahSculp,CorrectionBiasPvDiet,MiFish_4,B10,TM_01_PstahSculp,TM_01_PstahSculp,D,TissueMix,PstahSculp
PvCF_D3_05_TR2,CorrectionBiasPvDiet,Prey18S_1,B10,PvCF_D3_05_TR2,PvCF_D3_05_TR2,A,ControlFeeding,Pv
PvCF_D6_02_TR1,CorrectionBiasPvDiet,Prey18S_2,B10,PvCF_D6_02_TR1,PvCF_D6_02_TR1,B,ControlFeeding,Pv
TM_B10,CorrectionBiasPvDiet,Prey18S_3,B10,TM_02_LnoseSkate,TM_B10,C,TissueMix,LnoseSkate
PvCF_D3_08_TR3,CorrectionBiasPvDiet,MiFish_1,B11,PvCF_D3_08_TR3,PvCF_D3_08_TR3,A,ControlFeeding,Pv
PvCF_D6_05_TR2,CorrectionBiasPvDiet,MiFish_2,B11,PvCF_D6_05_TR2,PvCF_D6_05_TR2,B,ControlFeeding,Pv
TM_B11,CorrectionBiasPvDiet,MiFish_3,B11,TM_01_3SpinStick,TM_B11,C,TissueMix,3SpinStick
TM_03_BlkEelpt,CorrectionBiasPvDiet,MiFish_4,B11,TM_03_BlkEelpt,TM_03_BlkEelpt,D,TissueMix,BlkEelpt
PvCF_D3_08_TR3,CorrectionBiasPvDiet,Prey18S_1,B11,PvCF_D3_08_TR3,PvCF_D3_08_TR3,A,ControlFeeding,Pv
PvCF_D6_05_TR2,CorrectionBiasPvDiet,Prey18S_2,B11,PvCF_D6_05_TR2,PvCF_D6_05_TR2,B,ControlFeeding,Pv
TM_B11,CorrectionBiasPvDiet,Prey18S_3,B11,TM_01_GhShrmp,TM_B11,C,TissueMix,GhShrmp
PvCF_D3_12_TR1,CorrectionBiasPvDiet,MiFish_1,B12,PvCF_D3_12_TR1,PvCF_D3_12_TR1,A,ControlFeeding,Pv
PvCF_D6_08_TR1,CorrectionBiasPvDiet,MiFish_2,B12,PvCF_D6_08_TR1,PvCF_D6_08_TR1,B,ControlFeeding,Pv
TM_B12,CorrectionBiasPvDiet,MiFish_3,B12,TM_02_FltHdSol,TM_B12,C,TissueMix,FltHdSol
TM_02_LfinSmel,CorrectionBiasPvDiet,MiFish_4,B12,TM_02_LfinSmel,TM_02_LfinSmel,D,TissueMix,LfinSmel
PvCF_D3_12_TR1,CorrectionBiasPvDiet,Prey18S_1,B12,PvCF_D3_12_TR1,PvCF_D3_12_TR1,A,ControlFeeding,Pv
PvCF_D6_08_TR1,CorrectionBiasPvDiet,Prey18S_2,B12,PvCF_D6_08_TR1,PvCF_D6_08_TR1,B,ControlFeeding,Pv
TM_B12,CorrectionBiasPvDiet,Prey18S_3,B12,TM_03_MusPolyWorm,TM_B12,C,TissueMix,MusPolyWorm
PvCF_D1_05_TR2,CorrectionBiasPvDiet,MiFish_1,B2,PvCF_D1_05_TR2,PvCF_D1_05_TR2,A,ControlFeeding,Pv
PvCF_D4_03_TR1,CorrectionBiasPvDiet,MiFish_2,B2,PvCF_D4_03_TR1,PvCF_D4_03_TR1,B,ControlFeeding,Pv
PvCF_D6_14_TR1,CorrectionBiasPvDiet,MiFish_3,B2,PvCF_D6_14_TR1,PvCF_D6_14_TR1,C,ControlFeeding,Pv
TM_03_Hake,CorrectionBiasPvDiet,MiFish_4,B2,TM_03_Hake,TM_03_Hake,D,TissueMix,Hake
PvCF_D1_05_TR2,CorrectionBiasPvDiet,Prey18S_1,B2,PvCF_D1_05_TR2,PvCF_D1_05_TR2,A,ControlFeeding,Pv
PvCF_D4_03_TR1,CorrectionBiasPvDiet,Prey18S_2,B2,PvCF_D4_03_TR1,PvCF_D4_03_TR1,B,ControlFeeding,Pv
PvCF_D6_14_TR1,CorrectionBiasPvDiet,Prey18S_3,B2,PvCF_D6_14_TR1,PvCF_D6_14_TR1,C,ControlFeeding,Pv
PvCF_D1_08_TR1,CorrectionBiasPvDiet,MiFish_1,B3,PvCF_D1_08_TR1,PvCF_D1_08_TR1,A,ControlFeeding,Pv
PvCF_D4_05_TR3,CorrectionBiasPvDiet,MiFish_2,B3,PvCF_D4_05_TR3,PvCF_D4_05_TR3,B,ControlFeeding,Pv
PvCF_D6_B3,CorrectionBiasPvDiet,MiFish_3,B3,PvCF_D6_18_TR1,PvCF_D6_B3,C,ControlFeeding,Pv
TM_02_GrtSculp,CorrectionBiasPvDiet,MiFish_4,B3,TM_02_GrtSculp,TM_02_GrtSculp,D,TissueMix,GrtSculp
PvCF_D1_08_TR1,CorrectionBiasPvDiet,Prey18S_1,B3,PvCF_D1_08_TR1,PvCF_D1_08_TR1,A,ControlFeeding,Pv
PvCF_D4_05_TR3,CorrectionBiasPvDiet,Prey18S_2,B3,PvCF_D4_05_TR3,PvCF_D4_05_TR3,B,ControlFeeding,Pv
CF_B3,CorrectionBiasPvDiet,Prey18S_3,B3,PvCF_D6_19_TR2,CF_B3,C,ControlFeeding,Pv
PvCF_D1_11_TR2,CorrectionBiasPvDiet,MiFish_1,B4,PvCF_D1_11_TR2,PvCF_D1_11_TR2,A,ControlFeeding,Pv
PvCF_D4_09_TR1,CorrectionBiasPvDiet,MiFish_2,B4,PvCF_D4_09_TR1,PvCF_D4_09_TR1,B,ControlFeeding,Pv
MC_B4,CorrectionBiasPvDiet,MiFish_3,B4,MC_MiFish_Skew1_R2,MC_B4,C,MockCom,MkCom
TM_01_ChumSal,CorrectionBiasPvDiet,MiFish_4,B4,TM_01_ChumSal,TM_01_ChumSal,D,TissueMix,ChumSal
PvCF_D1_11_TR2,CorrectionBiasPvDiet,Prey18S_1,B4,PvCF_D1_11_TR2,PvCF_D1_11_TR2,A,ControlFeeding,Pv
PvCF_D4_09_TR1,CorrectionBiasPvDiet,Prey18S_2,B4,PvCF_D4_09_TR1,PvCF_D4_09_TR1,B,ControlFeeding,Pv
MC_B4,CorrectionBiasPvDiet,Prey18S_3,B4,MC_18S_RepFish_Skew1_R2,MC_B4,C,MockCom,MkCom
PvCF_D2_01_TR1,CorrectionBiasPvDiet,MiFish_1,B5,PvCF_D2_01_TR1,PvCF_D2_01_TR1,A,ControlFeeding,Pv
PvCF_D4_12_TR2,CorrectionBiasPvDiet,MiFish_2,B5,PvCF_D4_12_TR2,PvCF_D4_12_TR2,B,ControlFeeding,Pv
Plate3_B5,CorrectionBiasPvDiet,MiFish_3,B5,TM_01_AmShad,Plate3_B5,C,TissueMix,AmShad
TM_01_CohoSal,CorrectionBiasPvDiet,MiFish_4,B5,TM_01_CohoSal,TM_01_CohoSal,D,TissueMix,CohoSal
PvCF_D2_01_TR1,CorrectionBiasPvDiet,Prey18S_1,B5,PvCF_D2_01_TR1,PvCF_D2_01_TR1,A,ControlFeeding,Pv
PvCF_D4_12_TR2,CorrectionBiasPvDiet,Prey18S_2,B5,PvCF_D4_12_TR2,PvCF_D4_12_TR2,B,ControlFeeding,Pv
Plate3_B5,CorrectionBiasPvDiet,Prey18S_3,B5,MC_18S_CombFish_Skew1_R1,Plate3_B5,C,MockCom,MkCom
PvCF_D2_03_TR3,CorrectionBiasPvDiet,MiFish_1,B6,PvCF_D2_03_TR3,PvCF_D2_03_TR3,A,ControlFeeding,Pv
PvCF_D5_02_TR3,CorrectionBiasPvDiet,MiFish_2,B6,PvCF_D5_02_TR3,PvCF_D5_02_TR3,B,ControlFeeding,Pv
TM_B6,CorrectionBiasPvDiet,MiFish_3,B6,TM_03_Ratfish,TM_B6,C,TissueMix,Ratfish
TM_03_SockSal,CorrectionBiasPvDiet,MiFish_4,B6,TM_03_SockSal,TM_03_SockSal,D,TissueMix,SockSal
PvCF_D2_03_TR3,CorrectionBiasPvDiet,Prey18S_1,B6,PvCF_D2_03_TR3,PvCF_D2_03_TR3,A,ControlFeeding,Pv
PvCF_D5_02_TR3,CorrectionBiasPvDiet,Prey18S_2,B6,PvCF_D5_02_TR3,PvCF_D5_02_TR3,B,ControlFeeding,Pv
TM_B6,CorrectionBiasPvDiet,Prey18S_3,B6,TM_02_MgArmSq,TM_B6,C,TissueMix,MgArmSq
PvCF_D2_06_TR2,CorrectionBiasPvDiet,MiFish_1,B7,PvCF_D2_06_TR2,PvCF_D2_06_TR2,A,ControlFeeding,Pv
PvCF_D5_06_TR1,CorrectionBiasPvDiet,MiFish_2,B7,PvCF_D5_06_TR1,PvCF_D5_06_TR1,B,ControlFeeding,Pv
TM_B7,CorrectionBiasPvDiet,MiFish_3,B7,TM_03_SpDog,TM_B7,C,TissueMix,SpDog
TM_01_EngSol,CorrectionBiasPvDiet,MiFish_4,B7,TM_01_EngSol,TM_01_EngSol,D,TissueMix,EngSol
PvCF_D2_06_TR2,CorrectionBiasPvDiet,Prey18S_1,B7,PvCF_D2_06_TR2,PvCF_D2_06_TR2,A,ControlFeeding,Pv
PvCF_D5_06_TR1,CorrectionBiasPvDiet,Prey18S_2,B7,PvCF_D5_06_TR1,PvCF_D5_06_TR1,B,ControlFeeding,Pv
TM_B7,CorrectionBiasPvDiet,Prey18S_3,B7,TM_01_GPO,TM_B7,C,TissueMix,GPO
PvCF_D2_09_TR1,CorrectionBiasPvDiet,MiFish_1,B8,PvCF_D2_09_TR1,PvCF_D2_09_TR1,A,ControlFeeding,Pv
PvCF_D5_09_TR2,CorrectionBiasPvDiet,MiFish_2,B8,PvCF_D5_09_TR2,PvCF_D5_09_TR2,B,ControlFeeding,Pv
TM_B8,CorrectionBiasPvDiet,MiFish_3,B8,TM_01_PadSculp,TM_B8,C,TissueMix,PadSculp
TM_02_StarFloun,CorrectionBiasPvDiet,MiFish_4,B8,TM_02_StarFloun,TM_02_StarFloun,D,TissueMix,StarFloun
PvCF_D2_09_TR1,CorrectionBiasPvDiet,Prey18S_1,B8,PvCF_D2_09_TR1,PvCF_D2_09_TR1,A,ControlFeeding,Pv
PvCF_D5_09_TR2,CorrectionBiasPvDiet,Prey18S_2,B8,PvCF_D5_09_TR2,PvCF_D5_09_TR2,B,ControlFeeding,Pv
TM_B8,CorrectionBiasPvDiet,Prey18S_3,B8,TM_01_RedOcto_03,TM_B8,C,TissueMix,RedOcto
PvCF_D3_01_TR2,CorrectionBiasPvDiet,MiFish_1,B9,PvCF_D3_01_TR2,PvCF_D3_01_TR2,A,ControlFeeding,Pv
PvCF_D5_12_TR3,CorrectionBiasPvDiet,MiFish_2,B9,PvCF_D5_12_TR3,PvCF_D5_12_TR3,B,ControlFeeding,Pv
TM_B9,CorrectionBiasPvDiet,MiFish_3,B9,TM_03_PacSanddab,TM_B9,C,TissueMix,PacSanddab
TM_01_PlfinMid,CorrectionBiasPvDiet,MiFish_4,B9,TM_01_PlfinMid,TM_01_PlfinMid,D,TissueMix,PlfinMid
PvCF_D3_01_TR2,CorrectionBiasPvDiet,Prey18S_1,B9,PvCF_D3_01_TR2,PvCF_D3_01_TR2,A,ControlFeeding,Pv
PvCF_D5_12_TR3,CorrectionBiasPvDiet,Prey18S_2,B9,PvCF_D5_12_TR3,PvCF_D5_12_TR3,B,ControlFeeding,Pv
TM_B9,CorrectionBiasPvDiet,Prey18S_3,B9,TM_02_PnkShrmp,TM_B9,C,TissueMix,PnkShrmp
PvCF_D1_01_TR3,CorrectionBiasPvDiet,MiFish_1,C1,PvCF_D1_01_TR3,PvCF_D1_01_TR3,A,ControlFeeding,Pv
PvCF_D3_15_TR1,CorrectionBiasPvDiet,MiFish_2,C1,PvCF_D3_15_TR1,PvCF_D3_15_TR1,B,ControlFeeding,Pv
PvCF_D6_11_TR1,CorrectionBiasPvDiet,MiFish_3,C1,PvCF_D6_11_TR1,PvCF_D6_11_TR1,C,ControlFeeding,Pv
TM_02_SlendSol,CorrectionBiasPvDiet,MiFish_4,C1,TM_02_SlendSol,TM_02_SlendSol,D,TissueMix,SlendSol
PvCF_D1_01_TR3,CorrectionBiasPvDiet,Prey18S_1,C1,PvCF_D1_01_TR3,PvCF_D1_01_TR3,A,ControlFeeding,Pv
PvCF_D3_15_TR1,CorrectionBiasPvDiet,Prey18S_2,C1,PvCF_D3_15_TR1,PvCF_D3_15_TR1,B,ControlFeeding,Pv
PvCF_D6_11_TR1,CorrectionBiasPvDiet,Prey18S_3,C1,PvCF_D6_11_TR1,PvCF_D6_11_TR1,C,ControlFeeding,Pv
PvCF_D3_05_TR3,CorrectionBiasPvDiet,MiFish_1,C10,PvCF_D3_05_TR3,PvCF_D3_05_TR3,A,ControlFeeding,Pv
PvCF_D6_02_TR2,CorrectionBiasPvDiet,MiFish_2,C10,PvCF_D6_02_TR2,PvCF_D6_02_TR2,B,ControlFeeding,Pv
TM_C10,CorrectionBiasPvDiet,MiFish_3,C10,TM_03_NAnch,TM_C10,C,TissueMix,NAnch
TM_02_PstahSculp,CorrectionBiasPvDiet,MiFish_4,C10,TM_02_PstahSculp,TM_02_PstahSculp,D,TissueMix,PstahSculp
PvCF_D3_05_TR3,CorrectionBiasPvDiet,Prey18S_1,C10,PvCF_D3_05_TR3,PvCF_D3_05_TR3,A,ControlFeeding,Pv
PvCF_D6_02_TR2,CorrectionBiasPvDiet,Prey18S_2,C10,PvCF_D6_02_TR2,PvCF_D6_02_TR2,B,ControlFeeding,Pv
TM_C10,CorrectionBiasPvDiet,Prey18S_3,C10,TM_03_LnoseSkate,TM_C10,C,TissueMix,LnoseSkate
PvCF_D3_09_TR1,CorrectionBiasPvDiet,MiFish_1,C11,PvCF_D3_09_TR1,PvCF_D3_09_TR1,A,ControlFeeding,Pv
