"day","month","year","Collection_Location","Sample_ID","sampleid"
"5","Feb","2016","Woodard Bay","Pv16-060","Pv16-060"
"5","Feb","2016","Woodard Bay","Pv16-061","Pv16-061"
"5","Feb","2016","Woodard Bay","Pv16-062","Pv16-062"
"5","Feb","2016","Woodard Bay","Pv16-063","Pv16-063"
"5","Feb","2016","Woodard Bay","Pv16-064","Pv16-064"
"5","Feb","2016","Woodard Bay","Pv16-065","Pv16-065"
"5","Feb","2016","Woodard Bay","Pv16-066","Pv16-066"
"5","Feb","2016","Woodard Bay","Pv16-067","Pv16-067"
"5","Feb","2016","Woodard Bay","Pv16-068","Pv16-068"
"5","Feb","2016","Woodard Bay","Pv16-069","Pv16-069"
"5","Feb","2016","Woodard Bay","Pv16-070","Pv16-070"
"5","Feb","2016","Woodard Bay","Pv16-071","Pv16-071"
"5","Feb","2016","Woodard Bay","Pv16-072","Pv16-072"
"5","Feb","2016","Woodard Bay","Pv16-073","Pv16-073"
"5","Feb","2016","Woodard Bay","Pv16-074","Pv16-074"
"5","Feb","2016","Woodard Bay","Pv16-075","Pv16-075"
"5","Feb","2016","Woodard Bay","Pv16-076","Pv16-076"
"5","Feb","2016","Woodard Bay","Pv16-077","Pv16-077"
"5","Feb","2016","Woodard Bay","Pv16-078","Pv16-078"
"5","Feb","2016","Woodard Bay","Pv16-079","Pv16-079"
"5","Feb","2016","Woodard Bay","Pv16-080","Pv16-080"
"5","Feb","2016","Woodard Bay","Pv16-081","Pv16-081"
"5","Feb","2016","Woodard Bay","Pv16-082","Pv16-082"
"5","Feb","2016","Woodard Bay","Pv16-083","Pv16-083"
"",NA,NA,"","Pv16-084","Pv16-084"
"5","Feb","2016","Woodard Bay","Pv16-085","Pv16-085"
"5","Feb","2016","Woodard Bay","Pv16-086","Pv16-086"
"",NA,NA,"","Pv16-087","Pv16-087"
"5","Feb","2016","Woodard Bay","Pv16-088","Pv16-088"
"22","Apr","2016","Clam Bay","Pv16-089","Pv16-089"
"5","Feb","2016","Seal Beach","Pv16-090","Pv16-090"
"5","Feb","2016","Seal Beach","Pv16-091","Pv16-091"
"5","Feb","2016","Still Harbor","Pv16-092","Pv16-092"
"5","Feb","2016","Still Harbor","Pv16-093","Pv16-093"
"5","Feb","2016","Still Harbor","Pv16-094","Pv16-094"
"5","Feb","2016","Still Harbor","Pv16-095","Pv16-095"
"5","Feb","2016","Still Harbor","Pv16-096","Pv16-096"
"5","Feb","2016","Still Harbor","Pv16-097","Pv16-097"
"5","Feb","2016","Still Harbor","Pv16-098","Pv16-098"
"1","Feb","2016","Still Harbor","Pv16-099","Pv16-099"
"1","Feb","2016","Still Harbor","Pv16-100","Pv16-100"
"1","Feb","2016","Still Harbor","Pv16-101","Pv16-101"
"1","Feb","2016","Still Harbor","Pv16-102","Pv16-102"
"1","Feb","2016","Still Harbor","Pv16-103","Pv16-103"
"1","Feb","2016","Still Harbor","Pv16-104","Pv16-104"
"1","Feb","2016","Still Harbor","Pv16-105","Pv16-105"
"1","Feb","2016","Still Harbor","Pv16-106","Pv16-106"
"1","Feb","2016","Still Harbor","Pv16-107","Pv16-107"
"1","Feb","2016","Still Harbor","Pv16-108","Pv16-108"
"25","Jan","2016","Still Harbor","Pv16-109","Pv16-109"
"25","Jan","2016","Still Harbor","Pv16-110","Pv16-110"
"25","Jan","2016","Still Harbor","Pv16-111","Pv16-111"
"25","Jan","2016","Still Harbor","Pv16-112","Pv16-112"
"25","Jan","2016","Still Harbor","Pv16-113","Pv16-113"
"25","Jan","2016","Still Harbor","Pv16-114","Pv16-114"
"25","Jan","2016","Still Harbor","Pv16-115","Pv16-115"
"25","Jan","2016","Still Harbor","Pv16-116","Pv16-116"
"25","Jan","2016","Still Harbor","Pv16-117","Pv16-117"
"25","Jan","2016","Still Harbor","Pv16-118","Pv16-118"
"25","Jan","2016","Still Harbor","Pv16-119","Pv16-119"
"25","Jan","2016","Still Harbor","Pv16-120","Pv16-120"
"25","Jan","2016","Still Harbor","Pv16-121","Pv16-121"
"25","Jan","2016","Still Harbor","Pv16-122","Pv16-122"
"17","Feb","2016","Still Harbor","Pv16-123","Pv16-123"
"17","Feb","2016","Still Harbor","Pv16-124","Pv16-124"
"17","Feb","2016","Woodard Bay","Pv16-125","Pv16-125"
"17","Feb","2016","Woodard Bay","Pv16-126","Pv16-126"
"17","Feb","2016","Woodard Bay","Pv16-127","Pv16-127"
"17","Feb","2016","Woodard Bay","Pv16-128","Pv16-128"
"17","Feb","2016","Woodard Bay","Pv16-129","Pv16-129"
"17","Feb","2016","Woodard Bay","Pv16-130","Pv16-130"
"17","Feb","2016","Woodard Bay","Pv16-131","Pv16-131"
"17","Feb","2016","Woodard Bay","Pv16-132","Pv16-132"
"17","Feb","2016","Woodard Bay","Pv16-133","Pv16-133"
"17","Feb","2016","Woodard Bay","Pv16-134","Pv16-134"
"17","Feb","2016","Woodard Bay","Pv16-135","Pv16-135"
"17","Feb","2016","Woodard Bay","Pv16-136","Pv16-136"
"17","Feb","2016","Woodard Bay","Pv16-137","Pv16-137"
"17","Feb","2016","Woodard Bay","Pv16-138","Pv16-138"
"17","Feb","2016","Woodard Bay","Pv16-139","Pv16-139"
"17","Feb","2016","Eagle Island","Pv16-140","Pv16-140"
"17","Feb","2016","Eagle Island","Pv16-141","Pv16-141"
"17","Feb","2016","Eagle Island","Pv16-142","Pv16-142"
"17","Feb","2016","Eagle Island","Pv16-143","Pv16-143"
"17","Feb","2016","Eagle Island","Pv16-144","Pv16-144"
"17","Feb","2016","Eagle Island","Pv16-145","Pv16-145"
"17","Mar","2016","McAllister Creek","Pv16-146","Pv16-146"
"17","Mar","2016","McAllister Creek","Pv16-147","Pv16-147"
"17","Mar","2016","McAllister Creek","Pv16-148","Pv16-148"
"17","Mar","2016","McAllister Creek","Pv16-149","Pv16-149"
"25","Jan","2016","Seal Beach","Pv16-150","Pv16-150"
"25","Jan","2016","Seal Beach","Pv16-151","Pv16-151"
"25","Jan","2016","Seal Beach","Pv16-152","Pv16-152"
"26","Jan","2016","Red Salmon Slough","Pv16-153","Pv16-153"
"26","Jan","2016","Red Salmon Slough","Pv16-154","Pv16-154"
"26","Jan","2016","Red Salmon Slough","Pv16-155","Pv16-155"
"26","Jan","2016","Red Salmon Slough","Pv16-156","Pv16-156"
"25","Jan","2016","Red Salmon Slough","Pv16-157","Pv16-157"
"25","Jan","2016","Red Salmon Slough","Pv16-158","Pv16-158"
"25","Jan","2016","Red Salmon Slough","Pv16-159","Pv16-159"
"25","Jan","2016","Red Salmon Slough","Pv16-160","Pv16-160"
"25","Jan","2016","Red Salmon Slough","Pv16-161","Pv16-161"
"17","Mar","2016","Red Salmon Slough","Pv16-162","Pv16-162"
"17","Mar","2016","Red Salmon Slough","Pv16-163","Pv16-163"
"17","Mar","2016","Red Salmon Slough","Pv16-164","Pv16-164"
"17","Mar","2016","Red Salmon Slough","Pv16-165","Pv16-165"
"17","Mar","2016","Red Salmon Slough","Pv16-166","Pv16-166"
"17","Feb","2016","Seal Beach","Pv16-167","Pv16-167"
"17","Feb","2016","Seal Beach","Pv16-168","Pv16-168"
"17","Mar","2016","Seal Beach","Pv16-169","Pv16-169"
"17","Mar","2016","Seal Beach","Pv16-170","Pv16-170"
"29","Jan","2016","Still Harbor","Pv16-171","Pv16-171"
"29","Jan","2016","Still Harbor","Pv16-172","Pv16-172"
"29","Jan","2016","Still Harbor","Pv16-173","Pv16-173"
"29","Jan","2016","Still Harbor","Pv16-174","Pv16-174"
"29","Jan","2016","Still Harbor","Pv16-175","Pv16-175"
"29","Jan","2016","Woodard Bay","Pv16-176","Pv16-176"
"29","Jan","2016","Woodard Bay","Pv16-177","Pv16-177"
"29","Jan","2016","Woodard Bay","Pv16-178","Pv16-178"
"29","Jan","2016","Woodard Bay","Pv16-179","Pv16-179"
"29","Jan","2016","Woodard Bay","Pv16-180","Pv16-180"
"29","Jan","2016","Woodard Bay","Pv16-181","Pv16-181"
"29","Jan","2016","Woodard Bay","Pv16-182","Pv16-182"
"29","Jan","2016","Woodard Bay","Pv16-183","Pv16-183"
"29","Jan","2016","Woodard Bay","Pv16-184","Pv16-184"
"29","Jan","2016","Woodard Bay","Pv16-185","Pv16-185"
"29","Jan","2016","Woodard Bay","Pv16-186","Pv16-186"
"29","Jan","2016","Woodard Bay","Pv16-187","Pv16-187"
"29","Jan","2016","Woodard Bay","Pv16-188","Pv16-188"
"29","Jan","2016","Woodard Bay","Pv16-189","Pv16-189"
"29","Jan","2016","Woodard Bay","Pv16-190","Pv16-190"
"29","Jan","2016","Woodard Bay","Pv16-191","Pv16-191"
"29","Jan","2016","Woodard Bay","Pv16-192","Pv16-192"
"29","Jan","2016","Woodard Bay","Pv16-193","Pv16-193"
"29","Jan","2016","Woodard Bay","Pv16-194","Pv16-194"
"29","Jan","2016","Woodard Bay","Pv16-195","Pv16-195"
"29","Jan","2016","Woodard Bay","Pv16-196","Pv16-196"
"29","Jan","2016","Woodard Bay","Pv16-197","Pv16-197"
"29","Jan","2016","Woodard Bay","Pv16-198","Pv16-198"
"22","Feb","2016","Eagle Island","Pv16-199","Pv16-199"
"22","Feb","2016","Eagle Island","Pv16-200","Pv16-200"
"22","Feb","2016","Nisqually SB","Pv16-201","Pv16-201"
"22","Feb","2016","Cutts Island","Pv16-202","Pv16-202"
"22","Feb","2016","Cutts Island","Pv16-203","Pv16-203"
"22","Feb","2016","Cutts Island","Pv16-204","Pv16-204"
"22","Feb","2016","Cutts Island","Pv16-205","Pv16-205"
"22","Feb","2016","Cutts Island","Pv16-206","Pv16-206"
"22","Feb","2016","Cutts Island","Pv16-207","Pv16-207"
"22","Feb","2016","Cutts Island","Pv16-208","Pv16-208"
"22","Feb","2016","Still Harbor","Pv16-209","Pv16-209"
"22","Feb","2016","Still Harbor","Pv16-210","Pv16-210"
"22","Feb","2016","Still Harbor","Pv16-211","Pv16-211"
"22","Feb","2016","Still Harbor","Pv16-212","Pv16-212"
"22","Feb","2016","Still Harbor","Pv16-213","Pv16-213"
"22","Feb","2016","Still Harbor","Pv16-214","Pv16-214"
"22","Feb","2016","Still Harbor","Pv16-215","Pv16-215"
"22","Feb","2016","Woodard Bay","Pv16-216","Pv16-216"
"22","Feb","2016","Woodard Bay","Pv16-217","Pv16-217"
"22","Feb","2016","Woodard Bay","Pv16-218","Pv16-218"
"22","Feb","2016","Woodard Bay","Pv16-219","Pv16-219"
"22","Feb","2016","Woodard Bay","Pv16-220","Pv16-220"
"22","Feb","2016","Woodard Bay","Pv16-221","Pv16-221"
"22","Feb","2016","Woodard Bay","Pv16-222","Pv16-222"
"2","Mar","2016","Red Salmon Slough","Pv16-223","Pv16-223"
"2","Mar","2016","Red Salmon Slough","Pv16-224","Pv16-224"
"2","Mar","2016","Red Salmon Slough","Pv16-225","Pv16-225"
"2","Mar","2016","Red Salmon Slough","Pv16-226","Pv16-226"
"2","Mar","2016","Red Salmon Slough","Pv16-227","Pv16-227"
"2","Mar","2016","Red Salmon Slough","Pv16-228","Pv16-228"
"2","Mar","2016","Red Salmon Slough","Pv16-229","Pv16-229"
"2","Mar","2016","Nisqually SB","Pv16-230","Pv16-230"
"2","Mar","2016","Nisqually SB","Pv16-231","Pv16-231"
"2","Mar","2016","Nisqually SB","Pv16-232","Pv16-232"
"2","Mar","2016","Red Salmon Slough","Pv16-233","Pv16-233"
"2","Mar","2016","Red Salmon Slough","Pv16-234","Pv16-234"
"2","Mar","2016","Red Salmon Slough","Pv16-235","Pv16-235"
"2","Mar","2016","Red Salmon Slough","Pv16-236","Pv16-236"
"2","Mar","2016","Red Salmon Slough","Pv16-237","Pv16-237"
"2","Mar","2016","Red Salmon Slough","Pv16-238","Pv16-238"
"2","Mar","2016","Red Salmon Slough","Pv16-239","Pv16-239"
"2","Mar","2016","Red Salmon Slough","Pv16-240","Pv16-240"
"2","Mar","2016","Red Salmon Slough","Pv16-241","Pv16-241"
"2","Mar","2016","Red Salmon Slough","Pv16-242","Pv16-242"
"9","May","2016","Red Salmon Slough","Pv16-243","Pv16-243"
"9","May","2016","Nisqually SB","Pv16-244","Pv16-244"
"9","May","2016","Nisqually SB","Pv16-245","Pv16-245"
"9","May","2016","Nisqually SB","Pv16-246","Pv16-246"
"9","May","2016","Nisqually SB","Pv16-247","Pv16-247"
"9","May","2016","Nisqually SB","Pv16-248","Pv16-248"
"9","May","2016","Nisqually SB","Pv16-249","Pv16-249"
"9","May","2016","Nisqually SB","Pv16-250","Pv16-250"
"9","May","2016","Nisqually SB","Pv16-251","Pv16-251"
"9","May","2016","Nisqually SB","Pv16-252","Pv16-252"
"9","May","2016","Nisqually SB","Pv16-253","Pv16-253"
"9","May","2016","Nisqually SB","Pv16-254","Pv16-254"
"9","May","2016","Nisqually SB","Pv16-255","Pv16-255"
"9","May","2016","Nisqually SB","Pv16-256","Pv16-256"
"29","Feb","2016","Red Salmon Slough","Pv16-257","Pv16-257"
"29","Feb","2016","Red Salmon Slough","Pv16-258","Pv16-258"
"29","Feb","2016","Red Salmon Slough","Pv16-259","Pv16-259"
"29","Feb","2016","Red Salmon Slough","Pv16-260","Pv16-260"
"26","Feb","2016","Seal Beach","Pv16-261","Pv16-261"
"26","Feb","2016","Seal Beach","Pv16-262","Pv16-262"
"26","Feb","2016","Seal Beach","Pv16-263","Pv16-263"
"26","Feb","2016","Seal Beach","Pv16-264","Pv16-264"
"26","Feb","2016","Seal Beach","Pv16-265","Pv16-265"
"26","Feb","2016","Seal Beach","Pv16-266","Pv16-266"
"17","Feb","2016","McAllister Creek","Pv16-267","Pv16-267"
"17","Feb","2016","McAllister Creek","Pv16-268","Pv16-268"
"17","Feb","2016","McAllister Creek","Pv16-269","Pv16-269"
"17","Feb","2016","McAllister Creek","Pv16-270","Pv16-270"
"17","Feb","2016","McAllister Creek","Pv16-271","Pv16-271"
"17","Feb","2016","McAllister Creek","Pv16-272","Pv16-272"
"1","Mar","2016","Seal Beach","Pv16-273","Pv16-273"
"1","Mar","2016","Seal Beach","Pv16-274","Pv16-274"
"1","Mar","2016","Seal Beach","Pv16-275","Pv16-275"
"1","Mar","2016","Seal Beach","Pv16-276","Pv16-276"
"31","May","2016","Seal Beach","Pv16-277","Pv16-277"
"31","May","2016","McAllister Creek","Pv16-278","Pv16-278"
"24","Mar","2016","Red Salmon Slough","Pv16-279","Pv16-279"
"24","Mar","2016","Red Salmon Slough","Pv16-280","Pv16-280"
"24","Mar","2016","Red Salmon Slough","Pv16-281","Pv16-281"
"24","Mar","2016","Red Salmon Slough","Pv16-282","Pv16-282"
"24","Mar","2016","Red Salmon Slough","Pv16-283","Pv16-283"
"23","May","2016","Red Salmon Slough","Pv16-284","Pv16-284"
"23","May","2016","Red Salmon Slough","Pv16-285","Pv16-285"
"23","May","2016","Red Salmon Slough","Pv16-286","Pv16-286"
"13","Jun","2016","Still Harbor","Pv16-287","Pv16-287"
"13","Jun","2016","Woodard Bay","Pv16-288","Pv16-288"
"13","Jun","2016","Woodard Bay","Pv16-289","Pv16-289"
"13","Jun","2016","Woodard Bay","Pv16-290","Pv16-290"
"13","Jun","2016","Woodard Bay","Pv16-291","Pv16-291"
"6","Jun","2016","Still Harbor","Pv16-292","Pv16-292"
"6","Jun","2016","Still Harbor","Pv16-293","Pv16-293"
"6","Jun","2016","Cutts Island","Pv16-294","Pv16-294"
"6","Jun","2016","Cutts Island","Pv16-295","Pv16-295"
"27","May","2016","Cutts Island","Pv16-296","Pv16-296"
"27","May","2016","Cutts Island","Pv16-297","Pv16-297"
"27","May","2016","Cutts Island","Pv16-298","Pv16-298"
"27","May","2016","Cutts Island","Pv16-299","Pv16-299"
"27","May","2016","Cutts Island","Pv16-300","Pv16-300"
"27","May","2016","Still Harbor","Pv16-301","Pv16-301"
"27","May","2016","Still Harbor","Pv16-302","Pv16-302"
"27","May","2016","Still Harbor","Pv16-303","Pv16-303"
"27","May","2016","Still Harbor","Pv16-304","Pv16-304"
"27","May","2016","Still Harbor","Pv16-305","Pv16-305"
"27","May","2016","Still Harbor","Pv16-306","Pv16-306"
"7","Mar","2016","Woodard Bay","Pv16-307","Pv16-307"
"7","Mar","2016","Woodard Bay","Pv16-308","Pv16-308"
"7","Mar","2016","Woodard Bay","Pv16-309","Pv16-309"
"7","Mar","2016","Woodard Bay","Pv16-310","Pv16-310"
"7","Mar","2016","Woodard Bay","Pv16-311","Pv16-311"
"7","Mar","2016","Woodard Bay","Pv16-312","Pv16-312"
"7","Mar","2016","Woodard Bay","Pv16-313","Pv16-313"
"7","Mar","2016","Woodard Bay","Pv16-314","Pv16-314"
"7","Mar","2016","Woodard Bay","Pv16-315","Pv16-315"
"7","Mar","2016","Still Harbor","Pv16-316","Pv16-316"
"7","Mar","2016","Still Harbor","Pv16-317","Pv16-317"
"7","Mar","2016","Still Harbor","Pv16-318","Pv16-318"
"28","Mar","2016","Still Harbor","Pv16-319","Pv16-319"
"28","Mar","2016","Still Harbor","Pv16-320","Pv16-320"
"28","Mar","2016","Eagle Island","Pv16-321","Pv16-321"
"28","Mar","2016","Eagle Island","Pv16-322","Pv16-322"
"28","Mar","2016","Eagle Island","Pv16-323","Pv16-323"
"28","Mar","2016","Eagle Island","Pv16-324","Pv16-324"
"29","Feb","2016","Still Harbor","Pv16-325","Pv16-325"
"29","Feb","2016","Still Harbor","Pv16-326","Pv16-326"
"7","Mar","2016","Nisqually ","Pv16-327","Pv16-327"
"7","Jan","2016","Woodard Bay","Pv16-328","Pv16-328"
"7","Jan","2016","Woodard Bay","Pv16-329","Pv16-329"
"7","Jan","2016","Woodard Bay","Pv16-330","Pv16-330"
"7","Jan","2016","Woodard Bay","Pv16-331","Pv16-331"
"7","Jan","2016","Woodard Bay","Pv16-332","Pv16-332"
"7","Jan","2016","Woodard Bay","Pv16-333","Pv16-333"
"7","Jan","2016","Woodard Bay","Pv16-334","Pv16-334"
"7","Jan","2016","Woodard Bay","Pv16-335","Pv16-335"
"7","Jan","2016","Woodard Bay","Pv16-336","Pv16-336"
"7","Jan","2016","Woodard Bay","Pv16-337","Pv16-337"
"7","Jan","2016","Woodard Bay","Pv16-338","Pv16-338"
"7","Jan","2016","Woodard Bay","Pv16-339","Pv16-339"
"7","Jan","2016","Woodard Bay","Pv16-340","Pv16-340"
"7","Jan","2016","Woodard Bay","Pv16-341","Pv16-341"
"7","Jan","2016","Woodard Bay","Pv16-342","Pv16-342"
"7","Jan","2016","Woodard Bay","Pv16-343","Pv16-343"
"7","Jan","2016","Woodard Bay","Pv16-344","Pv16-344"
"7","Jan","2016","Woodard Bay","Pv16-345","Pv16-345"
"7","Jan","2016","Woodard Bay","Pv16-346","Pv16-346"
"7","Jan","2016","Woodard Bay","Pv16-347","Pv16-347"
"7","Jan","2016","Woodard Bay","Pv16-348","Pv16-348"
"7","Jan","2016","Woodard Bay","Pv16-349","Pv16-349"
"7","Jan","2016","Woodard Bay","Pv16-350","Pv16-350"
"7","Jan","2016","Woodard Bay","Pv16-351","Pv16-351"
"7","Jan","2016","Woodard Bay","Pv16-352","Pv16-352"
"7","Jan","2016","Woodard Bay","Pv16-353","Pv16-353"
"7","Jan","2016","Woodard Bay","Pv16-354","Pv16-354"
"7","Jan","2016","Woodard Bay","Pv16-355","Pv16-355"
"7","Jan","2016","Woodard Bay","Pv16-356","Pv16-356"
"7","Jan","2016","Woodard Bay","Pv16-357","Pv16-357"
"7","Jan","2016","Woodard Bay","Pv16-358","Pv16-358"
"7","Jan","2016","Woodard Bay","Pv16-359","Pv16-359"
"7","Jan","2016","Woodard Bay","Pv16-360","Pv16-360"
"7","Jan","2016","Cutts Island","Pv16-361","Pv16-361"
"7","Jan","2016","Cutts Island","Pv16-362","Pv16-362"
"7","Jan","2016","Cutts Island","Pv16-363","Pv16-363"
"7","Jan","2016","Cutts Island","Pv16-364","Pv16-364"
"7","Jan","2016","Cutts Island","Pv16-365","Pv16-365"
"7","Jan","2016","Cutts Island","Pv16-366","Pv16-366"
"7","Jan","2016","Cutts Island","Pv16-367","Pv16-367"
"7","Jan","2016","Cutts Island","Pv16-368","Pv16-368"
"7","Jan","2016","Cutts Island","Pv16-369","Pv16-369"
"7","Jan","2016","Cutts Island","Pv16-370","Pv16-370"
"7","Jan","2016","Cutts Island","Pv16-371","Pv16-371"
"7","Jan","2016","Cutts Island","Pv16-372","Pv16-372"
"7","Jan","2016","Cutts Island","Pv16-373","Pv16-373"
"7","Jan","2016","Cutts Island","Pv16-374","Pv16-374"
"7","Jan","2016","Cutts Island","Pv16-375","Pv16-375"
"7","Jan","2016","Eagle Island","Pv16-376","Pv16-376"
"7","Jan","2016","Eagle Island","Pv16-377","Pv16-377"
"7","Jan","2016","Eagle Island","Pv16-378","Pv16-378"
"7","Jan","2016","Eagle Island","Pv16-379","Pv16-379"
"7","Jan","2016","Eagle Island","Pv16-380","Pv16-380"
"7","Jan","2016","Eagle Island","Pv16-381","Pv16-381"
"7","Jan","2016","Eagle Island","Pv16-382","Pv16-382"
"7","Jan","2016","Eagle Island","Pv16-383","Pv16-383"
"7","Jan","2016","Eagle Island","Pv16-384","Pv16-384"
"7","Jan","2016","Eagle Island","Pv16-385","Pv16-385"
"7","Jan","2016","Eagle Island","Pv16-386","Pv16-386"
"7","Jan","2016","Eagle Island","Pv16-387","Pv16-387"
"7","Jan","2016","Eagle Island","Pv16-388","Pv16-388"
"7","Jan","2016","Red Salmon Slough","Pv16-389","Pv16-389"
"2","May","2016","Cutts Island","Pv16-390","Pv16-390"
"2","May","2016","Cutts Island","Pv16-391","Pv16-391"
"2","May","2016","Cutts Island","Pv16-392","Pv16-392"
"2","May","2016","Cutts Island","Pv16-393","Pv16-393"
"2","May","2016","Cutts Island","Pv16-394","Pv16-394"
"2","May","2016","Cutts Island","Pv16-395","Pv16-395"
"2","May","2016","Cutts Island","Pv16-396","Pv16-396"
"2","May","2016","Cutts Island","Pv16-397","Pv16-397"
"2","May","2016","Cutts Island","Pv16-398","Pv16-398"
"2","May","2016","Cutts Island","Pv16-399","Pv16-399"
"2","May","2016","Cutts Island","Pv16-400","Pv16-400"
"2","May","2016","Cutts Island","Pv16-401","Pv16-401"
"2","May","2016","Cutts Island","Pv16-402","Pv16-402"
"2","May","2016","Cutts Island","Pv16-403","Pv16-403"
"2","May","2016","Cutts Island","Pv16-404","Pv16-404"
"2","May","2016","Cutts Island","Pv16-405","Pv16-405"
"2","May","2016","Cutts Island","Pv16-406","Pv16-406"
"2","May","2016","Cutts Island","Pv16-407","Pv16-407"
"2","May","2016","Cutts Island","Pv16-408","Pv16-408"
"2","May","2016","Cutts Island","Pv16-409","Pv16-409"
"2","May","2016","Cutts Island","Pv16-410","Pv16-410"
"2","May","2016","Cutts Island","Pv16-411","Pv16-411"
"2","May","2016","Cutts Island","Pv16-412","Pv16-412"
"2","May","2016","Cutts Island","Pv16-413","Pv16-413"
"2","May","2016","Cutts Island","Pv16-414","Pv16-414"
"16","May","2016","Woodard Bay","Pv16-415","Pv16-415"
"16","May","2016","Woodard Bay","Pv16-416","Pv16-416"
"16","May","2016","Woodard Bay","Pv16-417","Pv16-417"
"16","May","2016","Woodard Bay","Pv16-418","Pv16-418"
"16","May","2016","Woodard Bay","Pv16-419","Pv16-419"
"16","May","2016","Woodard Bay","Pv16-420","Pv16-420"
"16","May","2016","Woodard Bay","Pv16-421","Pv16-421"
"16","May","2016","Woodard Bay","Pv16-422","Pv16-422"
"16","May","2016","Woodard Bay","Pv16-423","Pv16-423"
"16","May","2016","Woodard Bay","Pv16-424","Pv16-424"
"16","May","2016","Woodard Bay","Pv16-425","Pv16-425"
"16","May","2016","Woodard Bay","Pv16-426","Pv16-426"
"16","May","2016","Woodard Bay","Pv16-427","Pv16-427"
"16","May","2016","Woodard Bay","Pv16-428","Pv16-428"
"16","May","2016","Still Harbor","Pv16-429","Pv16-429"
"16","May","2016","Still Harbor","Pv16-430","Pv16-430"
